Netid State  Recv-Q Send-Q                                          Local Address:Port                    Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
nl    UNCONN 0      0                                                        rtnl:avahi-daemon/997                    *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:firefox/5309                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:xdg-desktop-por/2715                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:goa-daemon/2500                     *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:evolution-calen/2541                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:systemd-resolve/578                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:evolution-addre/2579                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:NetworkManager/1109                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:firefox/5309                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:xdg-desktop-por/2715                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:evolution-addre/2579                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:evolution-calen/2541                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:goa-daemon/2500                     *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:NetworkManager/1109                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:avahi-daemon/997                    *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                        rtnl:systemd-resolve/578                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 4352   0                                                     tcpdiag:ss/168258                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 960    0                                                     tcpdiag:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                     selinux:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                       audit:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                       audit:dbus-daemon/998                     *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                       audit:sudo/6654                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                       audit:systemd/1                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                   fiblookup:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                   connector:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                         nft:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                         nft:systemd/1                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:-1942418613                         *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:switcheroo-cont/1040                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:-910052147                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:-208597979                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:systemd-udevd/457                   *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:gvfs-mtp-volume/2563                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:-372496568                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:gnome-shell/2169                    *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:ModemManager/1161                   *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:gdm3/1291                           *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:-233224257                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:gvfs-gphoto2-vo/2557                *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:kernel                              *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:NetworkManager/1109                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:systemd/1921                        *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:-302739288                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:-611750660                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:systemd-logind/1059                 *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
nl    UNCONN 0      0                                                      uevent:snapd/1032                          *                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
